"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 16 20:33:07 MSK 2025","Wed Jul 16 20:33:11 MSK 2025","4237","","CreateOrderTest","","CreateOrderTest","multiIngredients","Создание заказа с несколькими ингредиентами","Проверка успешного создания заказа с несколькими ингредиентами и авторизованным пользователем."
"passed","Wed Jul 16 20:33:25 MSK 2025","Wed Jul 16 20:33:26 MSK 2025","1346","","CreateOrdersTest","","CreateOrdersTest","createOrderWithAutorization","Создание заказа с авторизацией","Создаем заказ с авторизацией "
"passed","Wed Jul 16 20:33:11 MSK 2025","Wed Jul 16 20:33:15 MSK 2025","3963","","CreateOrderTest","","CreateOrderTest","oneIngredient","Создание заказа с одним ингредиентом","Проверка успешного создания заказа с одним ингредиентом и авторизованным пользователем."
"passed","Wed Jul 16 20:33:26 MSK 2025","Wed Jul 16 20:33:27 MSK 2025","1115","","CreateOrdersTest","","CreateOrdersTest","createOrderWithWrongHashIngredients","Создание заказа c неверным хешем ингредиентов","Создаем заказ с неверным хешем ингредиентов"
"passed","Wed Jul 16 20:32:51 MSK 2025","Wed Jul 16 20:32:52 MSK 2025","360","","CreateOrderWithoutAuthorizationTest","","CreateOrderWithoutAuthorizationTest","multiIngredients","Создание заказа с несколькими ингредиентами без авторизации","Проверка, что система возвращает ошибку при попытке создания заказа с несколькими ингредиентами без авторизации."
"passed","Wed Jul 16 20:32:52 MSK 2025","Wed Jul 16 20:32:53 MSK 2025","817","","CreateOrderWithoutAuthorizationTest","","CreateOrderWithoutAuthorizationTest","incorrectHashIngredients","Создание заказа с некорректным хэшем ингредиентов без авторизации","Проверка, что система возвращает ошибку при попытке создания заказа с некорректным хэшем ингредиентов без авторизации."
"passed","Wed Jul 16 20:33:04 MSK 2025","Wed Jul 16 20:33:05 MSK 2025","582","","CreateUsersTest","","CreateUsersTest","createUserUniqueTest","Создание уникального пользователя","Выполнили пост запрос на создание уникального пользователя"
"passed","Wed Jul 16 20:33:16 MSK 2025","Wed Jul 16 20:33:16 MSK 2025","187","","CreateUserTest","","CreateUserTest","withoutName","Создание пользователя без указания имени","Проверка, что система возвращает ошибку при попытке создания пользователя без указания поля name."
"passed","Wed Jul 16 20:33:18 MSK 2025","Wed Jul 16 20:33:18 MSK 2025","185","","CreateUserTest","","CreateUserTest","withoutPassword","Создание пользователя без указания пароля","Проверка, что система возвращает ошибку при попытке создания пользователя без указания поля password."
"passed","Wed Jul 16 20:33:18 MSK 2025","Wed Jul 16 20:33:19 MSK 2025","1126","","CreateUserTest","","CreateUserTest","withExistingLogin","Создание пользователя с уже существующим логином","Проверка, что система возвращает ошибку при попытке создания пользователя с уже существующим полем email."
"passed","Wed Jul 16 20:33:05 MSK 2025","Wed Jul 16 20:33:05 MSK 2025","443","","CreateUsersTest","","CreateUsersTest","createUserWithoutPasswordTest","Создание пользователя без заполнения поля пароль","Здесь мы создаем пользователя без обязательного поля пароль"
"passed","Wed Jul 16 20:32:36 MSK 2025","Wed Jul 16 20:32:47 MSK 2025","10905","","ReceivingOrdersTest","","ReceivingOrdersTest","receivingOrdersGivenUser","Получение заказов авторизованного пользователя","Проверка успешного получения списка заказов для авторизованного пользователя."
"passed","Wed Jul 16 20:33:43 MSK 2025","Wed Jul 16 20:33:44 MSK 2025","1225","","ChangeDataUserTest","","ChangeDataUserTest","authorizationAndChangeName","Изменение имени авторизованного пользователя","Проверка успешного изменения поля name авторизованного пользователя."
"passed","Wed Jul 16 20:32:57 MSK 2025","Wed Jul 16 20:32:58 MSK 2025","1287","","LoginUserTest","","LoginUserTest","withIncorrectPassword","Авторизация с некорректным паролем","Проверка, что система возвращает ошибку при попытке авторизации с некорректным полем password."
"passed","Wed Jul 16 20:33:19 MSK 2025","Wed Jul 16 20:33:20 MSK 2025","1079","","CreateOrdersTest","","CreateOrdersTest","createOrderWithoutAutorization","Создание заказа без авторизации","Создаем заказ без авторизации "
"passed","Wed Jul 16 20:33:16 MSK 2025","Wed Jul 16 20:33:17 MSK 2025","159","","CreateUserTest","","CreateUserTest","withoutEmail","Создание пользователя без указания логина","Проверка, что система возвращает ошибку при попытке создания пользователя без указания поля email."
"passed","Wed Jul 16 20:32:53 MSK 2025","Wed Jul 16 20:32:55 MSK 2025","1390","","LoginUserTest","","LoginUserTest","withoutName","Авторизация без указания имени","Проверка, что авторизация проходит успешно, даже если поле name не указано (оно не является обязательным для авторизации)."
"passed","Wed Jul 16 20:33:17 MSK 2025","Wed Jul 16 20:33:18 MSK 2025","1058","","CreateUserTest","","CreateUserTest","createNewUser","Создание нового пользователя с валидными данными","Проверка успешного создания пользователя, когда все обязательные поля (email, password, name) заполнены корректно."
"passed","Wed Jul 16 20:33:05 MSK 2025","Wed Jul 16 20:33:07 MSK 2025","1403","","CreateOrderTest","","CreateOrderTest","withoutIngredients","Создание заказа без ингредиентов","Проверка, что система возвращает ошибку при попытке создания заказа без ингредиентов."
"passed","Wed Jul 16 20:33:36 MSK 2025","Wed Jul 16 20:33:38 MSK 2025","1580","","CreateOrdersTest","","CreateOrdersTest","createOrderWithoutIngredients","Создание заказа без ингредиентов","Создаем заказ без ингредиентов "
